Portfolio	Name of the Body	Type of Body	link
"Agriculture,
Fisheries and
Forestry"	"Department of
Agriculture,
Fisheries and
Forestry"	"Non-corporate
Commonwealth
entity"	https://www.agriculture.gov.au/
"Agriculture,
Fisheries and
Forestry"	"Australian Fisheries
Management
Authority"	"Non-corporate
Commonwealth
entity"	http://www.afma.gov.au/
"Agriculture,
Fisheries and
Forestry"	"Australian
Pesticides and
Veterinary
Medicines Authority
(APVMA)"	"Corporate
Commonwealth
entity"	https://www.apvma.gov.au/
"Agriculture,
Fisheries and
Forestry"	"Cotton Research
and Development
Corporation"	"Corporate
Commonwealth
entity"	http://www.crdc.com.au/
"Agriculture,
Fisheries and
Forestry"	"Fisheries Research
and Development
Corporation"	"Corporate
Commonwealth
entity"	http://www.frdc.com.au/
"Agriculture,
Fisheries and
Forestry"	"Grains Research
and Development
Corporation"	"Corporate
Commonwealth
entity"	http://www.grdc.com.au/
"Agriculture,
Fisheries and
Forestry"	"Regional
Investment
Corporation"	"Corporate
Commonwealth
entity"	http://www.ric.gov.au/
"Agriculture,
Fisheries and
Forestry"	"Rural Industries
Research and
Development
Corporation"	"Corporate
Commonwealth
entity"	https://www.agrifutures.com.au/
"Agriculture,
Fisheries and
Forestry"	Wine Australia	"Corporate
Commonwealth
entity"	https://www.wineaustralia.com/
"Attorney-
General’s"	"Attorney-General’s
Department"	"Non-corporate
Commonwealth
entity"	http://www.ag.gov.au/
"Attorney-
General’s"	"Administrative
Review Tribunal"	"Non-corporate
Commonwealth
entity"	http://www.art.gov.au/
"Attorney-
General’s"	"Australian Crime
Commission
(Australian Criminal
Intelligence
Commission)"	"Non-corporate
Commonwealth
entity"	https://www.acic.gov.au/
"Attorney-
General’s"	"Australian Federal
Police"	"Non-corporate
Commonwealth
entity"	https://www.afp.gov.au/
"Attorney-
General’s"	"Australian Financial
Security Authority"	"Non-corporate
Commonwealth
entity"	https://www.afsa.gov.au/
"Attorney-
General’s"	"Australian Institute
of Criminology"	"Non-corporate
Commonwealth
entity"	http://www.aic.gov.au/
"Attorney-
General’s"	"Australian Law
Reform
Commission"	"Non-corporate
Commonwealth
entity"	http://www.alrc.gov.au/
"Attorney-
General’s"	"Australian Security
Intelligence
Organisation"	"Non-corporate
Commonwealth
entity"	http://www.asio.gov.au/
"Attorney-
General’s"	"Australian
Transaction
Reports and
Analysis Centre
(AUSTRAC)"	"Non-corporate
Commonwealth
entity"	http://www.austrac.gov.au/
"Attorney-
General’s"	"Federal Court of
Australia"	"Non-corporate
Commonwealth
entity"	http://www.fedcourt.gov.au/
"Attorney-
General’s"	"National
Anti-Corruption
Commission"	"Non-corporate
Commonwealth
entity"	https://www.nacc.gov.au/
"Attorney-
General’s"	"Office of the
Australian
Information
Commissioner"	"Non-corporate
Commonwealth
entity"	http://www.oaic.gov.au/
"Attorney-
General’s"	"Office of the
Commonwealth
Ombudsman"	"Non-corporate
Commonwealth
entity"	http://www.ombudsman.gov.au/
"Attorney-
General’s"	"Office of the
Director of Public
Prosecutions
(CDPP)"	"Non-corporate
Commonwealth
entity"	http://www.cdpp.gov.au/
"Attorney-
General’s"	"Office of the
Inspector-General
of Intelligence and
Security"	"Non-corporate
Commonwealth
entity"	http://www.igis.gov.au/
"Attorney-
General’s"	"Office of
Parliamentary
Counsel"	"Non-corporate
Commonwealth
entity"	http://www.opc.gov.au/
"Attorney-
General’s"	"Office of the
Special Investigator"	"Non-corporate
Commonwealth
entity"	https://www.osi.gov.au/
"Attorney-
General’s"	"Australian Human
Rights Commission"	"Corporate
Commonwealth
entity"	http://www.humanrights.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Department of
Climate Change,
Energy, the
Environment and
Water"	"Non-corporate
Commonwealth
entity"	https://www.dcceew.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Bureau of
Meteorology"	"Non-corporate
Commonwealth
entity"	http://www.bom.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Clean Energy
Regulator"	"Non-corporate
Commonwealth
entity"	http://www.cleanenergyregulator.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Climate Change
Authority"	"Non-corporate
Commonwealth
entity"	http://www.climatechangeauthority.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Great Barrier Reef
Marine Park
Authority"	"Non-corporate
Commonwealth
entity"	http://www.gbrmpa.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Australian Institute
of Marine Science"	"Corporate
Commonwealth
entity"	http://www.aims.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Australian
Renewable Energy
Agency"	"Corporate
Commonwealth
entity"	http://arena.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Clean Energy
Finance
Corporation"	"Corporate
Commonwealth
entity"	https://www.cefc.com.au/
"Climate Change,
Energy, the
Environment and
Water"	"Director of National
Parks"	"Corporate
Commonwealth
entity"	https://www.dcceew.gov.au/parks-heritage/national-parks/parks-australia/director-national-parks
"Climate Change,
Energy, the
Environment and
Water"	"Murray-Darling
Basin Authority"	"Corporate
Commonwealth
entity"	http://www.mdba.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Sydney Harbour
Federation Trust"	"Corporate
Commonwealth
entity"	http://www.harbourtrust.gov.au/
"Climate Change,
Energy, the
Environment and
Water"	"Snowy Hydro
Limited"	"Commonwealth
company,
limited by
shares"	https://www.snowyhydro.com.au/
Defence	"Department of
Defence"	"Non-corporate
Commonwealth
entity"	http://www.defence.gov.au/
Defence	"Australian Signals
Directorate"	"Non-corporate
Commonwealth
entity"	https://asd.gov.au/
Defence	"Australian
Submarine Agency"	"Non-corporate
Commonwealth
entity"	https://www.asa.gov.au/
Defence	"Army and Air Force
Canteen Service
(Frontline Defence
Services)"	"Corporate
Commonwealth
entity"	http://www.aafcans.gov.au/
Defence	"Australian Military
Forces Relief Trust
Fund"	"Corporate
Commonwealth
entity"	http://www.armyrtf.com.au/
Defence	"Defence Housing
Australia"	"Corporate
Commonwealth
entity"	http://www.dha.gov.au/
Defence	"Royal Australian Air
Force Veterans’
Residences Trust
Fund"	"Corporate
Commonwealth
entity"	https://www.airforce.gov.au/our-community/veterans-residences-trust
