Total failed entries: 40

Entity: Australian Broadcasting Corporation | URL: https://www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24/abbreviations-list | Number of terms: 0 
Entity: Australian National Audit Office | URL: https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-national-audit-office/australian-national-audit-office-annual-report-2023-24/abbreviations-and-acronyms | Number of terms: 0 
Entity: Attorney-General's Department | URL: https://www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24/glossary-of-abbreviations-and-acronyms | Number of terms: 0 
Entity: Commonwealth Superannuation Corporation (CSC) | URL: https://www.transparency.gov.au/publications/finance/commonwealth-superannuation-corporation-csc/commonwealth-superannuation-corporation-annual-report-2023-24/10.-glossary | Number of terms: 0 
Entity: Department of Foreign Affairs and Trade | URL: https://www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24/abbreviations-and-acronyms | Number of terms: 0 
Entity: Aged Care Quality and Safety Commission | URL: https://www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024/glossary- | Number of terms: 0 
Entity: National Emergency Management Agency | URL: https://www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24/appendix-2%3A-acronyms-and-abbreviations/acronyms-and-abbreviations | Number of terms: 0 
Entity: National Indigenous Australians Agency | URL: https://www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes/glossary | Number of terms: 0 
Entity: Australian Criminal Intelligence Commission | URL: https://www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24/section-5%3A-appendices-and-references/glossary | Number of terms: 0 
Entity: Australian Centre for International Agricultural Research (ACIAR) | URL: https://www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-centre-for-international-agricultural-research-aciar/australian-centre-for-international-agricultural-research-annual-report-2023-24/part-6-reference-material/abbreviations-and-acronyms | Number of terms: 0 
Entity: Australian Competition and Consumer Commission (ACCC) | URL: https://www.transparency.gov.au/publications/treasury/australian-competition-and-consumer-commission-accc/accc-and-aer-annual-report-2023-24/part-6---appendixes/glossary-and-abbreviations | Number of terms: 0 
