Portfolio,Entity,Annual Report Url,Type of Glossary,Glossary Url,Entity Website
Finance,asc pty ltd,https:/www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024,glossary,https:/www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024/glossary,http://www.asc.com.au/
Attorney-General's,administrative appeals tribunal,https:/www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24/glossary,https://www.art.gov.au/
Health,aged care quality and safety commission,https:/www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024,glossary,https:/www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024/glossary-,https://www.agedcarequality.gov.au/
"Infrastructure, Transport, Cities and Regional Development",airservices australia,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24,acronym,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24/appendices/appendix-d%3A-acronyms,http://www.airservicesaustralia.com
Prime Minister and Cabinet,anindilyakwa land council,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24,acronym,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24/part-1%3A-introduction-to-this-report/1.02-acronyms,http://www.anindilyakwa.com.au
Defence,army and air force canteen service,https:/www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service,abbreviation,https:/www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service/appendix-4%3A-terms-and-abbreviations-,http://www.aafcans.gov.au
Employment and Workplace Relations,asbestos and silica safety and eradication agency,https:/www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24/section-6---reference-and-index/6.1-glossary-of-abbreviations-and-acronyms,http://www.asbestossafety.gov.au
Attorney-General's,attorney-general's department,https:/www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24/glossary-of-abbreviations-and-acronyms,https://www.ag.gov.au
Communications and the Arts,australian broadcasting corporation,https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24/abbreviations-list,http://www.abc.net.au/
Treasury,australian bureau of statistics,https:/www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24/reference-material/abbreviations-and-acronyms,http://www.abs.gov.au
