Agency,GlossaryType
Screen Australia,none
"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","acronym_or_abbreviation, glossary"
IP Australia,acronym_or_abbreviation
Northern Australia Infrastructure Facility,acronym_or_abbreviation
Australian Commission on Safety and Quality in Health Care,none
Office of the Australian Accounting Standards Board (AASB),acronym_or_abbreviation
Snowy Hydro Limited,none
Australian Nuclear Science and Technology Organisation,glossary
Federal Court of Australia,"acronym_or_abbreviation, glossary"
Attorney-General's Department,"acronym_or_abbreviation, glossary"
Department of the Prime Minister and Cabinet,none
"Department of Industry, Science and Resources",acronym_or_abbreviation
Department of Health and Aged Care,"acronym_or_abbreviation, glossary"
Professional Services Review,none
Tiwi Land Council,glossary
Department of Education [i],acronym_or_abbreviation
Reserve Bank of Australia,acronym_or_abbreviation
Parliamentary Workplace Support Service,acronym_or_abbreviation
Fisheries Research and Development Corporation,acronym_or_abbreviation
Indigenous Land and Sea Corporation,acronym_or_abbreviation
National Film and Sound Archive of Australia,acronym_or_abbreviation
National Gallery of Australia,acronym_or_abbreviation
Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),"acronym_or_abbreviation, glossary"
Civil Aviation Safety Authority,acronym_or_abbreviation
National Health and Medical Research Council (NHMRC),acronym_or_abbreviation
Clean Energy Finance Corporation,"acronym_or_abbreviation, glossary"
"Australian Film, Television and Radio School",none
Australian Hearing Services (Hearing Australia),glossary
Independent Health and Aged Care Pricing Authority,"acronym_or_abbreviation, glossary"
Australian Criminal Intelligence Commission,"acronym_or_abbreviation, glossary"
Australian Taxation Office,"acronym_or_abbreviation, glossary"
Australian Digital Health Agency,none
National Intermodal Corporation Limited,"acronym_or_abbreviation, glossary"
Aboriginal Hostels Limited,none
Future Fund Management Agency,"acronym_or_abbreviation, glossary"
Australian Fisheries Management Authority,"acronym_or_abbreviation, glossary"
Australian Prudential Regulation Authority (APRA),glossary
Cotton Research and Development Corporation,acronym_or_abbreviation
Australian Signals Directorate,"acronym_or_abbreviation, glossary"
National Museum of Australia,none
Wreck Bay Aboriginal Community Council,none
Australian National Maritime Museum,none
Australian Broadcasting Corporation,acronym_or_abbreviation
National Library of Australia,glossary
Australian Submarine Agency,"acronym_or_abbreviation, glossary"
Grains Research and Development Corporation,acronym_or_abbreviation
Australian Strategic Policy Institute Ltd,acronym_or_abbreviation
Australian Office of Financial Management (AOFM),"acronym_or_abbreviation, glossary"
Northern Land Council,glossary
"Department of Agriculture, Fisheries and Forestry",glossary
Australian Human Rights Commission,none
Australian Skills Quality Authority (National Vocational Education and Training Regulator),"acronym_or_abbreviation, glossary"
Department of the Treasury,"acronym_or_abbreviation, glossary"
National Transport Commission,"acronym_or_abbreviation, glossary"
National Archives of Australia,"acronym_or_abbreviation, glossary"
Australian Securities and Investments Commission (ASIC),glossary
National Australia Day Council Limited,none
National Portrait Gallery of Australia,none
Australian Institute of Aboriginal and Torres Strait Islander Studies,acronym_or_abbreviation
Australian Sports Commission (Australian Institute of Sport),none
Murray-Darling Basin Authority,"acronym_or_abbreviation, glossary"
National Reconstruction Fund Corporation,none
Indigenous Business Australia,none
Army and Air Force Canteen Service,acronym_or_abbreviation
Australian Military Forces Relief Trust Fund,none
Australian Security Intelligence Organisation,"acronym_or_abbreviation, glossary"
Australian Institute of Family Studies (AIFS),acronym_or_abbreviation
