Portfolio,Entity,BodyType,Url
Finance,ASC Pty Ltd,Commonwealth Company,https:/www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024/glossary
Attorney-General's,Administrative Appeals Tribunal,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24/glossary
Health,Aged Care Quality and Safety Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024/glossary-
Defence,Army and Air Force Canteen Service,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service/appendix-4%3A-terms-and-abbreviations-
Attorney-General's,Attorney-General's Department,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24/glossary-of-abbreviations-and-acronyms
Communications and the Arts,Australian Broadcasting Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24/abbreviations-list
Communications and the Arts,Australian Communications and Media Authority (ACMA),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-communications-and-media-authority-acma/australian-communications-and-media-authority-and-esafety-commissioner-annual-report-2023-24/glossary
Attorney-General's,Australian Financial Security Authority,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/australian-financial-security-authority/australian-financial-security-authority-annual-report-2023-24/abbreviations-and-acronyms
Services Australia,Australian Hearing Services (Hearing Australia),Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/services-australia/australian-hearing-services-hearing-australia/australian-hearing-services-hearing-australia-annual-report-2023-24/glossary
Health,Australian Institute of Health and Welfare,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/australian-institute-of-health-and-welfare/australian-institute-of-health-and-welfare-annual-report-2023-24/user-guide---acronyms-and-abbreviations
