Agency,Portfolio,Glossary Type,Num Terms,All Data URLs,Glossary URLs,Same
Australian Pesticides and Veterinary Medicines Authority (APVMA),Agriculture,both,0,https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements | https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements,https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements | https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements,same
Australian Renewable Energy Agency,"Climate Change, Energy, the Environment and Water",one,0,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-renewable-energy-agency/australian-renewable-energy-agency-annual-report-2023-24/appendix-d%3A-glossary | nan,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-renewable-energy-agency/australian-renewable-energy-agency-annual-report-2023-24/appendix-d%3A-glossary,different
Australian Security Intelligence Organisation,Home Affairs,both,1,https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/glossary | https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/abbreviations-and-short-forms,https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/glossary | https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/abbreviations-and-short-forms,same
Australian Submarine Agency,Defence,one,0,https://www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24/chapter-5%3A-appendices/appendix-f%3A-glossary-of-abbreviations-and-acronyms | nan,https://www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24/chapter-5%3A-appendices/appendix-f%3A-glossary-of-abbreviations-and-acronyms,different
Coal Mining Industry (Long Service Leave Funding) Corporation,Attorney-General's,one,0,https://www.transparency.gov.au/publications/attorney-general-s/coal-mining-industry-long-service-leave-funding-corporation/coal-mining-industry-long-service-leave-funding-corporation-annual-report-2023-24/-part-5.-appendices/glossary-and-acronyms | nan,https://www.transparency.gov.au/publications/attorney-general-s/coal-mining-industry-long-service-leave-funding-corporation/coal-mining-industry-long-service-leave-funding-corporation-annual-report-2023-24/-part-5.-appendices/glossary-and-acronyms,different
Fisheries Research and Development Corporation,Agriculture,one,0,https://www.transparency.gov.au/publications/agriculture/fisheries-research-and-development-corporation/fisheries-research-and-development-corporation-2023-24/appendices/abbreviations-and-acronyms | nan,https://www.transparency.gov.au/publications/agriculture/fisheries-research-and-development-corporation/fisheries-research-and-development-corporation-2023-24/appendices/abbreviations-and-acronyms,different
Future Fund Management Agency,Finance,one,0,https://www.transparency.gov.au/publications/finance/future-fund-management-agency/future-fund-management-agency-annual-report-2023-24/08-references-and-index/glossary-of-abbreviations-and-acronyms | nan,https://www.transparency.gov.au/publications/finance/future-fund-management-agency/future-fund-management-agency-annual-report-2023-24/08-references-and-index/glossary-of-abbreviations-and-acronyms,different
Independent Health and Aged Care Pricing Authority,Health and Aged Care,both,0,https://www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-c-%E2%80%94-glossary | https://www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-b-%E2%80%94-acronyms-and-abbreviations,https://www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-c-%E2%80%94-glossary | https://www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-b-%E2%80%94-acronyms-and-abbreviations,same
National Film and Sound Archive of Australia,Communications and the Arts,one,1,https://www.transparency.gov.au/publications/communications-and-the-arts/national-film-and-sound-archive-of-australia/national-film-and-sound-archive-annual-report-2023-24/section-four%3A-appendices/abbreviations | nan,https://www.transparency.gov.au/publications/communications-and-the-arts/national-film-and-sound-archive-of-australia/national-film-and-sound-archive-annual-report-2023-24/section-four%3A-appendices/abbreviations,different
National Gallery of Australia,Communications and the Arts,one,0,https://www.transparency.gov.au/publications/communications-and-the-arts/national-gallery-of-australia/national-gallery-of-australia-annual-report-2023-24/part-6%3A-appendices/abbreviations-and-acronyms | nan,https://www.transparency.gov.au/publications/communications-and-the-arts/national-gallery-of-australia/national-gallery-of-australia-annual-report-2023-24/part-6%3A-appendices/abbreviations-and-acronyms,different
